Heureux le Bâtisseur de la Paix;BERTHIER Jacques;268;;français;Messe Vienne la paix;Psaume;ZL71-2;SAB;;orgue;;;;
Jésus , Messie humilié;BERTHIER Jacques;268;;français;Messe Vienne la paix;Anamnèse;;SATB;;orgue;;;;
Jésus, Seigneur,toi qui es notre paix;BERTHIER Jacques;268;;français;Messe Vienne la paix;rite pénitentiel;;SATB;;orgue;;;;
"Messe ""Vienne la Paix""";BERTHIER Jacques;268;;français;Messe Vienne la paix;Messe;;SATB;;orgue+O117;;;;
Notre Père qui es aux Cieux;BERTHIER Jacques;268;;français;Messe Vienne la paix;Notre Père;;Unisson;;orgue;;;;
Pierre tu es pierre;BERTHIER Jacques;268;;français;Messe Vienne la paix;;K 221-1;SATB;;orgue;;;;
"Saint le Dieu de l univers messe ""vienne la paix""";BERTHIER Jacques;268;;français;Messe Vienne la paix;Sanctus;C 178;SATB;;;;;;
Vienne la paix sur notre terre;BERTHIER Jacques;268;;français;Messe Vienne la paix;;T 150-1;SATB;;flûte + orgue;;;;
Et misericordia;RUTTER John;260;;latin;Miséricorde;;;SSmSA;;piano;;;;
Hymne pour l Année Sainte de la Miséricorde;INWOOD Paul;260;;latin;Miséricorde;;;SATB;;;Hymne Miséricorde;;;
Misericordia Domini;ANONYME;260;grégorien;;Miséricorde;;;Unisson;;;;;;
Misericordias Domini;BOTOR Henryk Jan;260;;latin;Miséricorde;;;SATB;;;;;;
